iter	Passed	Remaining
0	146	146051
1	150	74995
2	154	51221
3	156	38931
4	159	31677
5	161	26751
6	163	23187
7	166	20692
8	169	18667
9	171	16987
10	173	15608
11	175	14448
12	177	13458
13	179	12638
14	182	11963
15	183	11306
16	186	10782
17	188	10264
18	190	9850
19	192	9433
20	195	9097
21	197	8792
22	199	8488
23	201	8205
24	203	7926
25	205	7686
26	206	7459
27	209	7270
28	211	7092
29	213	6911
30	215	6749
31	218	6611
32	219	6442
33	221	6294
34	222	6146
35	225	6028
36	228	5947
37	230	5823
38	231	5694
39	232	5580
40	234	5485
41	235	5381
42	237	5283
43	239	5208
44	242	5138
45	243	5050
46	244	4958
47	246	4881
48	248	4816
49	249	4739
50	251	4677
51	254	4633
52	256	4589
53	259	4549
54	261	4486
55	263	4440
56	264	4377
57	266	4325
58	268	4285
59	270	4234
60	272	4189
61	274	4153
62	275	4104
63	277	4059
64	279	4017
65	281	3983
66	283	3952
67	285	3919
68	287	3885
69	290	3853
70	291	3819
71	293	3784
72	294	3743
73	297	3718
74	299	3689
75	301	3662
76	303	3633
77	304	3601
78	306	3572
79	308	3543
80	309	3515
81	311	3492
82	313	3458
83	315	3441
84	317	3413
85	319	3395
86	320	3364
87	322	3341
88	324	3321
89	326	3300
90	329	3287
91	330	3260
92	331	3235
93	333	3210
94	334	3189
95	336	3165
96	337	3145
97	339	3125
98	341	3104
99	343	3087
100	344	3065
101	345	3039
102	347	3024
103	348	2999
104	349	2977
105	350	2959
106	352	2940
107	353	2921
108	354	2901
109	356	2884
110	357	2866
111	359	2846
112	360	2826
113	361	2809
114	362	2791
115	363	2773
116	365	2754
117	366	2741
118	368	2728
119	370	2717
120	372	2705
121	373	2688
122	374	2672
123	376	2658
124	377	2642
125	379	2630
126	380	2614
127	382	2604
128	383	2588
129	384	2571
130	385	2555
131	386	2542
132	387	2528
133	389	2516
134	390	2501
135	391	2488
136	392	2474
137	393	2460
138	395	2450
139	397	2440
140	398	2427
141	399	2411
142	400	2398
143	401	2389
144	403	2378
145	404	2366
146	405	2354
147	406	2342
148	408	2332
149	409	2321
150	411	2313
151	412	2300
152	413	2288
153	414	2277
154	415	2267
155	417	2257
156	418	2246
157	419	2234
158	420	2223
159	421	2214
160	422	2201
161	423	2190
162	424	2178
163	425	2167
164	426	2156
165	427	2145
166	429	2140
167	430	2129
168	430	2118
169	432	2109
170	433	2099
171	434	2091
172	435	2081
173	436	2070
174	437	2061
175	438	2050
176	438	2040
177	439	2030
178	441	2023
179	442	2014
180	443	2005
181	444	1995
182	444	1986
183	445	1977
184	446	1968
185	447	1959
186	448	1951
187	449	1942
188	450	1933
189	451	1925
190	452	1916
191	453	1909
192	454	1901
193	455	1893
194	456	1885
195	457	1877
196	458	1869
197	459	1861
198	460	1854
199	461	1846
200	462	1838
201	463	1831
202	464	1824
203	465	1817
204	466	1809
205	467	1801
206	468	1793
207	469	1786
208	470	1779
209	471	1772
210	471	1764
211	472	1757
212	474	1752
213	474	1744
214	475	1737
215	476	1730
216	477	1723
217	478	1717
218	479	1710
219	480	1704
220	481	1698
221	482	1691
222	483	1684
223	484	1677
224	485	1670
225	485	1664
226	487	1658
227	487	1651
228	488	1645
229	489	1639
230	490	1632
231	491	1626
232	491	1619
233	493	1614
234	494	1608
235	495	1602
236	495	1596
237	496	1590
238	497	1584
239	498	1578
240	499	1572
241	500	1568
242	501	1562
243	502	1556
244	503	1551
245	504	1545
246	505	1540
247	506	1536
248	507	1530
249	508	1526
250	510	1522
251	511	1517
252	512	1513
253	513	1509
254	514	1504
255	515	1499
256	516	1494
257	517	1489
258	518	1484
259	520	1480
260	521	1475
261	522	1471
262	523	1466
263	524	1462
264	526	1459
265	527	1455
266	528	1450
267	529	1445
268	529	1440
269	530	1435
270	532	1431
271	533	1427
272	534	1422
273	535	1418
274	536	1413
275	536	1408
276	537	1404
277	539	1400
278	540	1396
279	541	1391
280	542	1387
281	542	1382
282	543	1377
283	544	1372
284	545	1369
285	546	1364
286	547	1360
287	548	1356
288	549	1351
289	550	1346
290	551	1342
291	551	1338
